gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,year,numeric_rating,lt,xint
,2000-11-21,320439,Plainwell Inc.,Corporates,Paper & Forest Products,USA,STDLONG,D,SD,,1,2000,1,,
,2000-04-24,320464,Fleetwood Capital Trust,Corporates,Property & Real Estate,USA,STDLONG,BBB+,BBB+,,1,2000,16,,
64430.0,2000-12-15,321124,Esprit Telecom Group PLC,Corporates,Telecom Services,GBR,STDLONG,D,CC,,1,2000,1,,
24707.0,2000-11-10,321195,CareMatrix Corp.,Corporates,Health Care,USA,STDLONG,D,CCC,,1,2000,1,299.1295,13.636
,2000-01-05,321423,Imperial Home Decor Group Inc. (The),Corporates,Consumer Products,USA,STDLONG,D,B-,,1,2000,1,,
24066.0,2000-09-07,321424,Shop At Home Inc.,Corporates,Retailing,USA,FCLONG,CCC+,CCC+,,1,2000,7,117.46233333333333,7.1673333333333344
,2000-04-03,321437,MMH Holdings Inc,Corporates,Capital Goods,USA,STDLONG,D,CCC,,1,2000,1,,
,2000-04-03,321438,Morris Material Handling Inc.,Corporates,Capital Goods,USA,STDLONG,D,CCC,,1,2000,1,,
12269.0,2000-11-06,321634,PharMerica Inc.,Corporates,Retailing,USA,FCLONG,B+,B+,,1,2000,10,731.49,39.133
,2000-11-13,321710,Cathay International Water Ltd.,Corporates,Capital Goods,HKG,FCLONG,CCC,D,,1,2000,6,,
125535.0,2000-11-01,321798,Global Health Sciences Inc.,Corporates,Consumer Products,USA,STDLONG,D,CC,,1,2000,1,299.342,30.744
126875.0,2000-02-18,321838,AP Holdings Inc.,Corporates,Business and Consumer Services,USA,STDLONG,B,B+,,1,2000,9,295.50149999999996,22.928
,2000-02-28,322038,Guardian Europe S.a.r.l.,Corporates,Building Materials,LUX,FCLONG,A+,,,1,2000,19,,
,2000-10-31,322140,Indesco International Inc.,Corporates,Chemicals,USA,STDLONG,D,B,,1,2000,1,,
,2000-05-01,322294,Epsilon Distribution Ministerial Holding Corp.,Corporates,Electric,AUS,STDLONG,AA,AA-,,1,2000,21,,
