gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,date_column,year,numeric_rating,countryrating,ch,wcap,ICOV,ROA,LDTC,SDTD,OM,Z_score,xint,lt
210328.0,2001-03-28,106000,Robert Bosch GmbH,Corporates,Automobiles & Components,DEU,STDLONG,AA-,,,1,2001-03-28,2001,20,,,,,,,,,,,
3153.0,2012-06-25,106084,Coeur Mining Inc.,Corporates,Metals & Mining,USA,STDLONG,B+,NR,,1,2012-06-25,2012,10,16.573033707865168,87.97066666666666,68.59466666666667,3.17130428586751,-0.0035744667442248004,0.04579670197949957,0.21457909454874824,0.12056822255438415,1.4384589455538066,39.57266666666666,1101.77
,2003-09-05,106216,Mitsui & Co. (USA) Inc.,Corporates,Capital Goods,USA,STDLONG,BBB+,,,1,2003-09-05,2003,16,21.285714285714285,,,,,,,,,,
,2009-06-25,107058,American Commercial Lines Inc.,Corporates,Transportation,USA,STDLONG,B,,,1,2009-06-25,2009,9,17.927272727272726,,,,,,,,,,
,2001-04-23,107254,Energir Inc.,Corporates,Gas,CAN,STDLONG,A-,,,1,2001-04-23,2001,17,19.818181818181817,,,,,,,,,,
11535.0,2000-09-26,107274,Winn-Dixie Stores Inc.,Corporates,Retailing,USA,FCLONG,BBB-,,,1,2000-09-26,2000,14,,20.80933333333333,224.86833333333334,8.592000962367086,0.06420164819365287,0.015515725610396573,0.8853862956970039,0.016582849564503344,7.417754942185966,26.754,1673.938
3107.0,2010-03-10,107437,Cleveland-Cliffs Inc.,Corporates,Metals & Mining,USA,STDLONG,BBB-,,,1,2010-03-10,2010,14,15.691176470588236,279.59999999999997,320.8666666666666,15.423572618837937,0.08581883337048431,0.1407877197076058,0.2901839127042433,0.17061685385548261,3.3930615535192015,33.53333333333333,2039.6666666666667
7772.0,2007-06-07,107459,National Semiconductor Corp.,Corporates,Information Technology,USA,STDLONG,BBB,,,1,2007-06-07,2007,15,19.058823529411764,875.9666666666667,1119.0333333333333,48.66040589093862,0.1717236138199257,0.008980939511541684,0.6587176067305591,0.2650421308197031,13.25359288719374,1.5333333333333332,496.06666666666666
30874.0,2002-06-11,107474,Korea Electric Power Corp.,Corporates,Electric,KOR,STDLONG,A-,,,1,2002-06-11,2002,17,16.833333333333332,860.0480000000001,-1085.7851666666668,2.824272491984916,0.022822474550916697,0.3129307296827086,0.27608686069795757,0.181986878256158,1.3018730548234478,953.9676666666666,28500.483999999997
3033.0,2000-07-17,107508,CILCORP Inc.,Corporates,Electric,USA,FCLONG,BBB-,,,1,2000-07-17,2000,14,,7.821666666666668,-22.762,2.0880816110681466,0.01034840564954505,0.2927364958978463,0.2431221460881617,0.09776222399580581,1.1255803754091307,31.451333333333334,1041.3776666666665
6532.0,2002-01-28,107604,LTX Corp.,Corporates,Information Technology,USA,STDLONG,B,,,1,2002-01-28,2002,9,21.285714285714285,135.6726666666667,216.75933333333333,18.317502632338897,0.07292756053850093,0.060381049267516716,0.8705673864091819,0.0927570946162095,5.922258966083768,1.6136666666666664,106.55433333333333
11399.0,2016-03-11,107610,Western Digital Corp.,Corporates,Information Technology,USA,FCLONG,BB+,,,1,2016-03-11,2016,13,16.573033707865168,1091.2001149302732,1442.189,37.08916083916084,0.09021732664807679,0.13805110865252257,0.5893723863130171,0.1271991596365209,4.352865938944583,53.5,6254.0
4091.0,2011-05-26,107614,Ducommun Inc.,Corporates,Aerospace & Defense,USA,STDLONG,B+,,,1,2011-05-26,2011,10,15.727272727272727,10.801666666666668,81.86766666666666,17.40343812336894,0.04063974755562316,0.05067964569758845,0.6882025017705629,0.07082990669455451,3.5771152529129395,1.8563333333333334,117.67666666666666
3026.0,2001-07-24,107622,Church & Dwight Co. Inc.,Corporates,Consumer Products,USA,STDLONG,BB,,,1,2001-07-24,2001,12,21.285714285714285,19.175666666666668,30.37833333333333,15.94344729343707,0.08208637639910742,0.08103610145305998,0.629598677595561,0.07991666978136637,5.402530172347606,3.785,220.08766666666665
1623.0,2003-07-25,107646,Amsted Industries Inc.,Corporates,Capital Goods,USA,STDLONG,BB-,,,1,2003-07-25,2003,11,21.285714285714285,,,,,,,,,,
2271.0,2016-03-15,107652,Blount International Inc.,Corporates,Capital Goods,USA,FCLONG,B+,NR,,1,2016-03-15,2016,10,16.573033707865168,32.0,218.61433333333335,4.103234725084864,-0.006651793689893724,0.5024334723089727,0.21459731227703516,0.0787211135334487,1.5321894424243865,17.133666666666667,626.9056666666667
4412.0,2004-06-03,107700,Viskase Cos. Inc.,Corporates,Containers & Packaging,USA,STDLONG,B-,NR,,1,2004-06-03,2004,8,20.11111111111111,26.619999999999997,-176.5775,-0.25873600469654295,-0.09873300741820773,0.0006088273354819687,0.7700927531480771,-0.034013318177229794,-1.9846461234116495,24.0565,382.954
148991.0,2000-02-23,107772,NextEra Energy Capital Holdings Inc.,Corporates,Electric,USA,FCLONG,A+,NR,,1,2000-02-23,2000,19,,,,,,,,,,,
14088.0,2019-07-26,107996,AEP Generating Co.,Corporates,Electric,USA,STDLONG,A-,,,1,2019-07-26,2019,17,16.573033707865168,0.0,76.286,4.996854627908182,0.15731964110197685,0.14296194299094617,0.37400997772396744,0.08892786390346182,,7.938666666666667,502.29033333333336
,2019-03-25,108108,Mars Inc.,Corporates,Consumer Products,USA,STDLONG,A,,,1,2019-03-25,2019,18,16.573033707865168,,,,,,,,,,
10726.0,2013-03-13,108175,Tribune Media Company,Corporates,Media & Entertainment,USA,FCLONG,BB-,NR,,1,2013-03-13,2013,11,16.573033707865168,1091.2001149302732,1442.189,48.66040589093862,0.08004272680546376,0.0,0.04178586778541396,0.1276782272268783,,0.531,14441.629
100144.0,2003-10-21,108224,Nissho Iwai Corp.,Corporates,Capital Goods,JPN,FCLONG,B,,,1,2003-10-21,2003,9,20.608695652173914,1091.2001149302732,-1085.7851666666668,0.6561753566578837,-0.00971669528240584,0.19510196933617507,0.7765862001642269,0.008781404383647355,1.760803932379021,675.9555623634219,23822.058739878947
152189.0,2007-03-21,108241,Sterling Chemicals Inc.,Corporates,Chemicals,USA,STDLONG,B-,NR,,1,2007-03-21,2007,8,19.058823529411764,21.596000000000004,89.753,-0.8415175884796301,-0.19831051841652136,0.353756490474519,0.3061597699596497,-0.013208069244021849,1.8446436607723502,11.098666666666666,260.75666666666666
259930.0,2012-09-06,108253,BP Capital Markets PLC,Corporates,Energy,GBR,STDLONG,A,,,1,2012-09-06,2012,18,19.36,,,,,,,,,,
,2002-11-20,108421,Sharp Electronics Corp.,Corporates,Consumer Products,USA,FCLONG,A,,,1,2002-11-20,2002,18,21.285714285714285,,,,,,,,,,
101846.0,2003-09-05,108532,Sumitomo Corp.,Corporates,Capital Goods,JPN,FCLONG,BBB+,,,1,2003-09-05,2003,16,20.608695652173914,1091.2001149302732,1442.189,2.078583444465519,0.005785851421718117,0.36525104090634203,0.5554993875409376,0.008976565301868288,2.3441140255817055,386.495784231707,35307.268902248274
