gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,date_column,year,numeric_rating,countryrating
103159.0,2003-11-21,114881,Pechiney S.A.,Corporates,Metals & Mining,FRA,STDLONG,A-,,,N,2003-11-21,2003,17,18.818181818181817
28511.0,2001-10-02,114948,American Restaurant Group Inc.,Corporates,Retailing,USA,STDLONG,B,NR,,N,2001-10-02,2001,9,21.285714285714285
,2002-12-03,115086,RELX Inc.,Corporates,Media & Entertainment,USA,STDLONG,A-,,,N,2002-12-03,2002,17,21.285714285714285
187131.0,2006-12-08,115094,ESCO Corp.,Corporates,Capital Goods,USA,STDLONG,B+,,,N,2006-12-08,2006,10,19.466666666666665
60892.0,2001-08-07,115382,Edison Mission Energy,Corporates,Electric,USA,FCLONG,BBB-,,,N,2001-08-07,2001,14,21.285714285714285
3863.0,2021-05-17,115384,Deluxe Corp.,Corporates,Commercial & Professional Services,USA,FCLONG,B+,NR,,N,2021-05-17,2021,10,16.573033707865168
,2000-02-18,115390,Cable & Wireless Ltd.,Corporates,Telecom Services,GBR,FCLONG,A,,,N,2000-02-18,2000,18,
,2011-06-16,115606,ABB Treasury Center (USA) Inc.,Corporates,Information Technology,USA,FCLONG,A,,,N,2011-06-16,2011,18,15.727272727272727
63464.0,2001-08-02,115616,Cogentrix Energy Inc.,Corporates,Electric,USA,FCLONG,BB+,,,N,2001-08-02,2001,13,21.285714285714285
,2005-12-01,115685,Shell Petroleum B.V.,Corporates,Energy,NLD,STDLONG,AA,NR,,N,2005-12-01,2005,21,23.0
17436.0,2000-06-22,115697,BASF SE,Corporates,Chemicals,DEU,FCLONG,AA-,,,N,2000-06-22,2000,20,
100080.0,2000-06-29,115699,Bayer AG,Corporates,Health Care,DEU,STDLONG,AA,,,N,2000-06-29,2000,21,
18467.0,2003-10-21,115701,Fujitsu Ltd.,Corporates,Information Technology,JPN,FCLONG,BB+,,,N,2003-10-21,2003,13,20.608695652173914
100435.0,2002-07-24,115702,Itochu Corp.,Corporates,Capital Goods,JPN,FCLONG,BB+,,,N,2002-07-24,2002,13,21.333333333333332
,2018-12-17,115704,Peugeot S.A.,Corporates,Automobiles & Components,FRA,FCLONG,BBB-,,,N,2018-12-17,2018,14,19.91743119266055
11416.0,2009-02-17,115708,Pennsylvania-American Water Co.,Corporates,Water,USA,STDLONG,BBB+,NR,,N,2009-02-17,2009,16,17.927272727272726
101394.0,2001-06-06,115751,Solvay S.A.,Corporates,Chemicals,BEL,STDLONG,A,,,N,2001-06-06,2001,18,
19157.0,2003-09-05,115762,Omron Corp.,Corporates,Information Technology,JPN,FCLONG,A,,,N,2003-09-05,2003,18,20.608695652173914
10877.0,2011-05-09,115837,Unit Corp.,Corporates,Energy,USA,FCLONG,BB-,,,N,2011-05-09,2011,11,15.727272727272727
